,date,dx,dy,distance,x,y,lon,lat
129,2021-12-08,-8998,297,9429.237696664455,-1531774.9424783103,1711256.7025752815,-41.83226423920044,-69.23271649040569
130,2021-12-07,-10707,-5427,17443.87405550304,-1542481.9424783103,1705829.7025752815,-42.121193668819714,-69.20413016820805
131,2021-12-06,-10287,-6644,26985.192986877035,-1552768.9424783103,1699185.7025752815,-42.42204259091488,-69.18581461888658
132,2021-12-05,2186,-8891,25413.768691241476,-1550582.9424783103,1690294.7025752815,-42.531551074064105,-69.25926541866016
133,2021-12-04,14550,-3205,30390.068143708417,-1536032.9424783103,1687089.7025752815,-42.31670577354086,-69.37062152938856
134,2021-12-03,6069,-6274,27205.367288888894,-1529963.9424783103,1680815.7025752815,-42.31005583536322,-69.45036853099361
135,2021-12-02,-1318,-10388,28130.822009763426,-1531281.9424783103,1670427.7025752815,-42.51150104000913,-69.51233882411898
136,2021-12-01,-8004,-1943,31305.644965330666,-1539285.9424783103,1668484.7025752815,-42.693555578716555,-69.47589499425511
137,2021-11-30,-9525,1064,34318.4815898655,-1548810.9424783103,1669548.7025752815,-42.85153859993548,-69.40963887027976
138,2021-11-29,4536,1635,40752.408542494755,-1544274.9424783103,1671183.7025752815,-42.73980479109556,-69.42683986837855
139,2021-11-28,2853,-1360,39698.30352943365,-1541421.9424783103,1669823.7025752815,-42.71024618721511,-69.45366265517703
140,2021-11-27,-4481,676,36745.47154830002,-1545902.9424783103,1670499.7025752815,-42.78158969255863,-69.42132744009926
141,2021-11-26,-9100,1179,40383.53645349991,-1555002.9424783103,1671678.7025752815,-42.92910549097984,-69.35685452648589
142,2021-11-25,-5489,-2259,38091.239592174614,-1560491.9424783103,1669419.7025752815,-43.06844981859611,-69.33773856314973
143,2021-11-24,-42,-7522,33030.99669133433,-1560533.9424783103,1661897.7025752815,-43.19831669828216,-69.3876521856731
144,2021-11-23,4784,-10528,27052.21621848712,-1555749.9424783103,1651369.7025752815,-43.29224138598487,-69.48769942982027
145,2021-11-22,4255,-5801,24864.205419244776,-1551494.9424783103,1645568.7025752815,-43.31455510446762,-69.55294717864986
146,2021-11-21,2343,-2440,27486.28892635749,-1549151.9424783103,1643128.7025752815,-43.31377072812823,-69.58385697457857
147,2021-11-20,1055,-2221,29607.197743328317,-1548096.9424783103,1640907.7025752815,-43.332970679889655,-69.60523491575151
148,2021-11-19,3480,-7661,30651.44056172038,-1544616.9424783103,1633246.7025752815,-43.402450285377554,-69.67795301186625
149,2021-11-18,15110,-3898,29735.769509094633,-1529506.9424783103,1629348.7025752815,-43.18965843059739,-69.79853041535361
150,2021-11-17,22521,3382,18763.171763574064,-1506985.9424783103,1632730.7025752815,-42.70654599379369,-69.91607071370795
151,2021-11-16,14458,9536,13868.300132633529,-1492527.9424783103,1642266.7025752815,-42.26524899031918,-69.94102852310861
152,2021-11-15,7279,8863,23952.307407060995,-1485248.9424783103,1651129.7025752815,-41.97248917933139,-69.92557288000339
153,2021-11-14,4001,-3637,32000.529033059534,-1481247.9424783103,1647492.7025752815,-41.95846499758021,-69.97470189901327
154,2021-11-13,-4763,-9439,27396.00219271103,-1486010.9424783103,1638053.7025752815,-42.21371313882781,-70.00951820749147
155,2021-11-12,-12544,-10597,30836.967573144775,-1498554.9424783103,1627456.7025752815,-42.63873396748506,-70.00366898372795
156,2021-11-11,-15676,-7961,23619.87398412581,-1514230.9424783103,1619495.7025752815,-43.07610546233194,-69.95959232108771
157,2021-11-10,-10731,-8935,23457.794699085513,-1524961.9424783103,1610560.7025752815,-43.43623204120979,-69.9518645325615
158,2021-11-09,-6921,-1379,30874.968656940964,-1531882.9424783103,1609181.7025752815,-43.59028721683784,-69.91747871965312
159,2021-11-08,-6072,-470,32018.219197347385,-1537954.9424783103,1608711.7025752815,-43.71184936247269,-69.88230541402103
160,2021-11-07,880,-4990,34803.51751924367,-1537074.9424783103,1603721.7025752815,-43.78438322486511,-69.92078480885358
161,2021-11-06,6264,-7701,30339.539305540326,-1530810.9424783103,1596020.7025752815,-43.80527545524727,-70.01113722934475
162,2021-11-05,9309,-2074,20416.45491716948,-1521501.9424783103,1593946.7025752815,-43.66791862750387,-70.08358450774318
163,2021-11-04,7473,1454,13937.836928458906,-1514028.9424783103,1595400.7025752815,-43.5009486942282,-70.12100772081953
164,2021-11-03,2161,-7039,15154.693963496953,-1511867.9424783103,1588361.7025752815,-43.58659484934635,-70.18117977304652
165,2021-11-02,-2685,1628,9510.815449894986,-1514552.9424783103,1589989.7025752815,-43.60805338802579,-70.15351309786763
166,2021-11-01,-1560,3899,9787.311348439713,-1516112.9424783103,1593888.7025752815,-43.56743028947851,-70.1179100381226
167,2021-10-31,-2296,-7515,13325.198224375694,-1518408.9424783103,1586373.7025752815,-43.74597595608937,-70.1530778697906
168,2021-10-30,-1197,-4136,5835.553529274447,-1519605.9424783103,1582237.7025752815,-43.84325312455518,-70.17277037720442
169,2021-10-29,3240,-1647,2731.3913294589033,-1516365.9424783103,1580590.7025752815,-43.811969061254196,-70.20409979381081
170,2021-10-28,1412,-4450,1035.4789110856084,-1514953.9424783103,1576140.7025752815,-43.86600517019878,-70.24232757044219
171,2021-10-27,3290,-11728,5109.217947392651,-1511663.9424783103,1564412.7025752815,-44.01758457640397,-70.3402455002997
172,2021-10-26,7338,-12221,17198.23131997424,-1504325.9424783103,1552191.7025752815,-44.10280842613166,-70.4669609062329
173,2021-10-25,7010,-5972,31296.25169933092,-1497315.9424783103,1546219.7025752815,-44.07944631546661,-70.55060459707775
174,2021-10-24,886,7388,34927.5267503132,-1496429.9424783103,1553607.7025752815,-43.92602615886695,-70.5077318865976
175,2021-10-23,-4202,18084,34201.756557864515,-1500631.9424783103,1571691.7025752815,-43.67504239572987,-70.36208166514284
176,2021-10-22,-1855,14420,19000.395381861785,-1502486.9424783103,1586111.7025752815,-43.449078018687686,-70.25504080889431
177,2021-10-21,1818,4733,15890.815436795294,-1500668.9424783103,1590844.7025752815,-43.32922428879689,-70.23504438587827
178,2021-10-20,4023,3347,19605.612137910364,-1496645.9424783103,1594191.7025752815,-43.192365126813606,-70.23796196075536
179,2021-10-19,4482,4254,24795.088814893243,-1492163.9424783103,1598445.7025752815,-43.030454097300215,-70.23757449337656
180,2021-10-18,3660,10208,30894.10913265665,-1488503.9424783103,1608653.7025752815,-42.778406948041095,-70.19206258604117
181,2021-10-17,3824,8709,40256.5294261744,-1484679.9424783103,1617362.7025752815,-42.5507973112289,-70.15725776061234
182,2021-10-16,9106,2624,40400.73729564366,-1475573.9424783103,1619986.7025752815,-42.328998577325116,-70.19567701253776
183,2021-10-15,5361,4668,32040.799828626827,-1470212.9424783103,1624654.7025752815,-42.14316485500183,-70.1970234675979
184,2021-10-14,-5483,7151,24998.082646950978,-1475695.9424783103,1631805.7025752815,-42.12408280309326,-70.11502838943396
185,2021-10-13,-4031,6064,24684.45236045197,-1479726.9424783103,1637869.7025752815,-42.09611147994126,-70.049273996436
186,2021-10-12,-1685,-4401,26292.165073507935,-1481411.9424783103,1633468.7025752815,-42.20525406988881,-70.06874132002808
187,2021-10-11,-2298,-12383,29185.26401401377,-1483709.9424783103,1621085.7025752815,-42.466525432075606,-70.13818544849748
188,2021-10-10,-6300,-8929,37296.98510685653,-1490009.9424783103,1612156.7025752815,-42.74516289475604,-70.15924921696066
189,2021-10-09,-7640,1146,40523.378673991814,-1497649.9424783103,1613302.7025752815,-42.870952843697516,-70.10417410799333
190,2021-10-08,-9850,8524,35030.38490736324,-1507499.9424783103,1621826.7025752815,-42.907687642473206,-69.98593658629544
191,2021-10-07,-11306,9484,22854.636621812017,-1518805.9424783103,1631310.7025752815,-42.954580717255894,-69.85219037274754
192,2021-10-06,-13566,9298,11768.877417158737,-1532371.9424783103,1640608.7025752815,-43.04628313456744,-69.70555800995136
193,2021-10-05,-4874,4704,16055.359150110697,-1537245.9424783103,1645312.7025752815,-43.05521535359389,-69.6437544789448
194,2021-10-04,2111,1411,20918.635676637583,-1535134.9424783103,1646723.7025752815,-42.99144260153261,-69.64748934897366
